corpus,cog_load,metric,n_quarters,pre_slope,pre_slope_p,level_jump,level_jump_p,slope_change,slope_change_p,post_slope,mk_tau_full,mk_p_full,mk_tau_post,mk_p_post,theil_slope_full,prepost_diff,prepost_diff_lo,prepost_diff_hi,prepost_p
Board Games,low,sem_pairwise_cosine,63,-0.0003328642067240861,0.2017990579502128,0.019307296274548406,0.007438582655874083,0.0003490495106244617,0.6048405414023708,1.6185303900375617e-05,0.20225294418842804,0.01914064557754448,-0.08571428571428572,0.6971814254173712,0.00015499217277812176,0.011265420337110338,0.004173309494123425,0.01979494463401757,0.0005
Board Games,low,lc_sem_pairwise_cosine,63,-0.00027486369655195986,0.2661230633086108,0.020170123859401985,0.010822058803330729,0.0006158574631168739,0.4123168642759697,0.000340993766564914,0.2585765488991295,0.0027426471962017193,0.12380952380952381,0.5589660721223221,0.0002411548546583317,0.015822919659832874,0.00886750365296883,0.023274743295772074,0.0
Personal Finance & Money,low,sem_pairwise_cosine,67,-0.0003729221320502396,4.602671077402321e-06,0.004859073312034355,0.03287336095209011,0.000585567338955313,0.07425863955119724,0.0002126452069050734,-0.45002261420171874,7.266041151156334e-08,0.009523809523809525,1.0,-0.00019907518528107905,-0.003534846738963024,-0.00701403510134153,-5.749626910988254e-05,0.9768
Personal Finance & Money,low,lc_sem_pairwise_cosine,67,-0.0003281106013461926,9.87555679942693e-07,0.002745543825525925,0.2918757964217318,0.0007476545801135244,0.05347804891546583,0.0004195439787673318,-0.4255992763455451,3.5385246705707637e-07,0.1619047619047619,0.43511891093211363,-0.00018811755682951312,-0.0030125792587782224,-0.006284466595244156,0.0004848203090959373,0.9548
Photography,low,sem_pairwise_cosine,64,-0.00025869433519515615,0.000942857623858607,0.004513900901492172,0.18506198025339082,0.0007558113723737316,0.07578339447691694,0.0004971170371785754,-0.2698412698412698,0.001623060192359349,-0.12380952380952381,0.5589660721223221,-0.00016268837006697237,0.0015263617818626063,-0.0046627626498482524,0.008534240899527335,0.3395
Photography,low,lc_sem_pairwise_cosine,64,-0.0002921033959650325,0.0004143138984736492,0.005166122168795155,0.19233580611320944,0.0015812857228177206,0.02384251121867703,0.001289182326852688,-0.19940476190476192,0.01985715240470721,-0.06666666666666668,0.770495669755301,-0.00016009949380394692,0.006887813557637373,-0.0037912709090268844,0.019498239718120473,0.1242
The Workplace,low,sem_pairwise_cosine,57,9.005917955185934e-05,0.10119191853931851,-0.005919553446847116,0.00030780415899993427,0.0012444010668900838,3.956165989889751e-14,0.001334460246441943,0.29072681704260656,0.0014026465283067907,0.580952380952381,0.0019359627197342143,0.00012694105481421338,0.005357940638611447,0.0014101642846198043,0.009442221086183825,0.0031
The Workplace,low,lc_sem_pairwise_cosine,57,8.448013167739696e-05,0.18646714302950407,-0.006020222615550744,0.0014828820459475503,0.001108769943716116,4.748932776459774e-10,0.001193250075393513,0.23433583959899754,0.010036782251480598,0.6571428571428571,0.00033037090163412914,0.00011828853984742988,0.004148850743267929,0.000496705331603778,0.007811806344591612,0.0124
Home Improvement,low,sem_pairwise_cosine,64,-0.00013144664456465267,0.03748130943180632,0.001238327724861862,0.3967420876075366,0.0006309412955395334,6.632215409480524e-05,0.0004994946509748807,0.00496031746031746,0.9537994307164576,0.4476190476190477,0.020790615322361355,1.9065789796467094e-06,0.0014486241675693706,-0.0004417413776318801,0.0034925922270830478,0.0707
Home Improvement,low,lc_sem_pairwise_cosine,64,6.89662797190775e-05,0.2212762950861794,-0.0026007288291008237,0.09730837251411303,0.00011064372704051352,0.6066515481628492,0.000179610006759591,0.1488095238095238,0.0821955459798745,0.04761904761904762,0.845841042458974,4.1643754004291154e-05,0.000380698211193381,-0.0014327977845828,0.002323124194326569,0.3513
Science Fiction & Fantasy,low,sem_pairwise_cosine,62,5.52395844191117e-05,0.6533693494117908,0.01603129831724467,0.0048793238137123385,0.0007926056057002634,0.04343413326511255,0.0008478451901193752,0.44685351665785306,2.8576816369071546e-07,0.40952380952380957,0.03589723736788882,0.0003967779011391398,0.023291964674139104,0.01954864168430313,0.026959229546370214,0.0
Science Fiction & Fantasy,low,lc_sem_pairwise_cosine,62,0.00011935782613789887,0.2552938824880029,0.015263442618535978,0.007735473129518052,0.0008260822811011186,0.049264332142212534,0.0009454401072390174,0.5081967213114754,5.3087718348714595e-09,0.40952380952380957,0.03589723736788882,0.00042574077648765973,0.024746111196518872,0.020921399895664734,0.028492721421816275,0.0
Arqade (Gaming),low,sem_pairwise_cosine,64,-0.0002475316558818609,4.210439712466282e-05,7.209941123236582e-05,0.9633603995692894,0.000774164085729674,8.326197784839465e-06,0.0005266324298478131,-0.31646825396825395,0.00021873779149452673,0.4285714285714286,0.027495265215751328,-0.00010318155850973068,-0.0024297649768800778,-0.0049493382001784296,0.00022414001089793894,0.9643
Arqade (Gaming),low,lc_sem_pairwise_cosine,64,-0.0005328744082264149,1.5393801572770566e-06,0.0034108302958724655,0.21250752584237587,0.0010894617989403688,1.1404310442950908e-10,0.0005565873907139539,-0.4037698412698412,2.405164417700718e-06,0.5428571428571429,0.00414288160001619,-0.0002392400948205679,-0.006014918174791509,-0.009521023244168465,-0.002740921460582505,0.9999
