quarter,group,n,n_lc,score_min,score_max,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2017Q3,high,400,338,1,69,0.11498607172563566,0.8828013934536785,77.60213576777345,0.12781075392447966,0.8696088045190838,74.1708434615504,0.10869816344445966,0.12151425221208549,0.1204595105836241,0.1354363169237743
2017Q3,low,400,302,-3,1,0.12344724126157687,0.874361376841577,77.26476212995526,0.14016780905025947,0.8569850644896421,71.24691916151143,0.11581143860121049,0.13087521270955868,0.13131720922194542,0.1493250707441216
2017Q4,high,400,346,1,18,0.10518960193330607,0.8925733720715272,79.76106960099905,0.12075154925269407,0.8767072702538166,77.63146962094304,0.09862026091802488,0.11206374150051797,0.11329101739477032,0.12819232904417183
2017Q4,low,400,298,-3,1,0.11279905428849939,0.8849829433472218,74.26660296247748,0.125821242981278,0.8712452712569142,70.02586299796532,0.10632673373041554,0.12007347314003282,0.11805987610064973,0.1331911155620604
2018Q1,high,400,348,1,96,0.1158450599203366,0.8819445527294643,74.55883788321646,0.12510802252157818,0.8723779200718746,72.88484203511157,0.10884694933671869,0.12309265135537813,0.1179872379584552,0.13313520526205205
2018Q1,low,400,305,-4,1,0.11406455387997493,0.883720607504725,77.79133863287063,0.1300623904361189,0.8670853551062946,71.96012886395215,0.10652536101756277,0.12161940856492326,0.12189042018759097,0.13776151435267528
2018Q2,high,400,330,1,163,0.11278254000069407,0.8849994163493077,77.56267353592297,0.13403112843729384,0.8633447234670616,72.78214942861169,0.10559528489176381,0.11999872118686798,0.12609833213552227,0.14146268540168275
2018Q2,low,400,311,-3,1,0.12432245573637019,0.8734883504029707,75.29679074086214,0.14362211156374474,0.8536242617853348,70.82830330422708,0.1169336059747016,0.1311923866381916,0.13538639605516495,0.1514799276636893
2018Q3,high,400,330,1,60,0.10711859107951853,0.8906492053981803,74.02501233003031,0.12680335298722517,0.8705505965672816,71.18036345756708,0.10109936314185472,0.1133787766014657,0.1194056521162187,0.1336297068599194
2018Q3,low,400,326,-4,1,0.10540855403695921,0.8923549673481332,75.56585312271102,0.12029357173958438,0.8770079422841567,70.88559774209835,0.09866029393375902,0.11288620636019124,0.11211258306298205,0.12843191967333195
2018Q4,high,400,337,1,28,0.11465565779677449,0.8831309813477175,74.72185619143991,0.135339519431937,0.8620947224654871,73.35815937295168,0.1076007900693021,0.12126720812376147,0.12804789258202345,0.1432452334876195
2018Q4,low,400,332,-2,1,0.11085502777463326,0.8869221097948033,74.43390753138151,0.12993578728029967,0.8674435373801832,71.1954260629317,0.10457615760644377,0.1175493884891825,0.12236764089674837,0.13797648384103187
2019Q1,high,400,329,1,97,0.11066075677370887,0.8871158951182254,75.56245176353329,0.12975965649720161,0.8675952360757382,73.442877848515,0.10488946307022652,0.11648185783071265,0.12268077223994095,0.1373664757087835
2019Q1,low,400,312,-4,1,0.11080924076546013,0.8869677823364536,77.80073954183962,0.12990947481020973,0.8673017735064896,71.75864578385944,0.10473612911663054,0.11807117300027979,0.12247436144243545,0.13766665354494675
2019Q2,high,400,344,1,55,0.11207009459468749,0.8857100806417992,70.34686727591887,0.1353044459741709,0.8621819041594749,70.12511296983696,0.1057462170858771,0.11913982757745073,0.12828374318138136,0.1430791959923214
2019Q2,low,400,308,-2,1,0.11581708780665675,0.8819724549128599,68.52334888323078,0.13447612193787606,0.8627137356008833,66.34420010563413,0.10916156172034025,0.12291055768954821,0.12587328388747343,0.1435179005009572
2019Q3,high,400,342,1,77,0.11556511508966767,0.8822237976980565,74.24469738208201,0.13460671397271975,0.8628628963020543,71.2708717412333,0.10891745777501483,0.12268582961857263,0.12747395242345114,0.14325854318058623
2019Q3,low,400,340,-5,1,0.12597340019317138,0.8718415333073115,72.71845565287327,0.14195789395390215,0.8555184527930211,68.94618325383793,0.11916647106165722,0.13350283583284192,0.13414152003673355,0.14953152900453948
2019Q4,high,400,351,1,99,0.11131355877107034,0.8864647251258573,80.70873859150011,0.1299266554917244,0.8675945030709301,77.92419828094293,0.10475962788512722,0.11814413818569498,0.12248487793027703,0.13801929602641794
2019Q4,low,400,304,-5,1,0.10970484244540703,0.8880694196607065,76.27882570361312,0.12841660813694242,0.8687163412319291,72.16367168609901,0.10241023891666003,0.11643625364948318,0.12026129634757562,0.13681825679350287
2020Q1,high,400,340,1,111,0.11234615865112024,0.8854347067455075,76.78037311301176,0.13025762517710915,0.8671843090145882,76.07871102274368,0.10578299208824385,0.11904353780526993,0.12245975562927461,0.13790413675245117
2020Q1,low,400,314,-4,1,0.11685510568224446,0.8809370320819612,75.81137965286919,0.1352437699895059,0.8620022292779765,73.53154828101569,0.10966481392714565,0.12330493333710431,0.12751204413274203,0.1438582643897874
2020Q2,high,400,324,1,45,0.11777403862112297,0.8800203964754298,75.53984564164143,0.13653515911290726,0.8607998259460832,72.33376813667897,0.11060693022962531,0.12494019496861215,0.1283727940196701,0.14401030388059158
2020Q2,low,400,297,-9,1,0.11175886857703467,0.8860205285944079,75.49278992951383,0.13671550547305167,0.8603778127271943,69.8416492685352,0.10400247254698673,0.11922981245287521,0.12888888584831631,0.14569165211873217
2020Q3,high,400,334,1,43,0.11026621565395175,0.8875094498851831,75.33435977519692,0.12930325475431836,0.8680898687629102,72.98282210309105,0.10352676418049257,0.11718096866277765,0.12141871160522236,0.13729597092890436
2020Q3,low,400,300,-4,1,0.11800575512109278,0.8797892592667099,73.41773169840857,0.13713432152229216,0.8599894595494488,66.6574151870687,0.1114529940506717,0.12501032630266112,0.1286288577841972,0.14580021295152473
2020Q4,high,400,344,1,31,0.11306732363096357,0.8847153446781139,78.0876209171984,0.13033134354781167,0.8671405498927343,74.62009719143467,0.10666705305627172,0.11990004192965034,0.12267727628258476,0.13815587732385606
2020Q4,low,400,312,-4,1,0.11556804206591728,0.8822208780392475,74.36774323998922,0.13150491433734413,0.8657114475675832,70.27878470863865,0.10902595116237877,0.12233081147316736,0.12361063005729107,0.13971211402147207
